frame_id,0,cluster_id,0
radial_distance,height,normalized_intensity
0.0779499547973822,-0.1102944890318333,0.2812865333646099
0.076006526461204,-0.1098750362453876,0.3707911628426912
0.0600533704271895,-0.1088514903841434,0.6666750653364442
0.0584573277852071,-0.1086861321983753,0.6860808144002188
0.042833660931337,-0.1081448028145252,0.8517469527430168
0.041368488679745,-0.1080416718779026,0.8500297530234192
0.025894196104992,-0.1077896187363087,0.9524482031849656
0.02449492184805,-0.1077306399403034,0.9445434476317583
0.009069950623196,-0.1075965890942036,1.0
0.0077035437821118,-0.107573253875774,0.9974224686194232
0.0782521819836752,-0.0935390645919262,0.1507109655070028
0.0762260441269877,-0.0931393707452236,0.2735690160802154
0.0601723936045006,-0.0920891071019588,0.6275200593512035
0.0585429428863302,-0.0919379646239696,0.6535748383278706
0.0428979551752857,-0.0914226005134998,0.8324411727513105
0.0414120529547377,-0.0913355926332889,0.8359567970615612
0.0259398381233233,-0.0911235565600811,0.9455808304957828
0.0245168412541935,-0.091067088609737,0.9381113343059492
0.0090906128214176,-0.0909427905736385,0.9954261432977868
0.0077035798205935,-0.0909210125265537,0.9935310774098828
0.0602932879278416,-0.0752781534848629,0.5775987510385714
0.0586299127014055,-0.0751434022841869,0.6097968060696439
0.042962273268515,-0.0746660584865032,0.8125049492161188
0.0414558092629913,-0.0745943839011608,0.821487428413791
0.0259844963750728,-0.0744180882630764,0.9365157002378476
0.0245387835196062,-0.0743681544719158,0.931703873679298
0.0091114462566551,-0.0742560604868351,0.99061024191293
0.0077035453012444,-0.0742363164482532,0.989464400755364
0.0604146326664856,-0.0584141517339168,0.5264641292361045
0.0587171638407934,-0.0582983101067959,0.5646898371251177
0.0430458832908725,-0.057902244692844,0.7887135325117487
0.0415102028375046,-0.0578407326994358,0.8021707822185989
0.0260273179771999,-0.0576704124269901,0.9219165483721952
0.0245607880907526,-0.0576324740705906,0.9250886648247546
0.0091321219060345,-0.0575350204763828,0.9855566423268236
0.0077036437284613,-0.0575184354839741,0.9862340142866128
0.0606450148648743,-0.0415906774161278,0.1930665268367381
0.0588474566099991,-0.0414509343264519,0.2201125752263871
0.0431461326781282,-0.0411081219373165,0.337875700683362
0.04157356009057,-0.0410540791509567,0.3512639160411921
0.0260759152553226,-0.0408957990167557,0.4141932923740848
0.0245852235755274,-0.0408663915751396,0.4145757148230092
0.009154669110445,-0.0407843010781227,0.445463577368795
0.0077035417103231,-0.0407713892219482,0.4469499042212077
0.0609239349587204,-0.0246868448613106,0.1333895919699843
0.0590304785840949,-0.0245653221664844,0.165354821612933
0.0432503266228241,-0.024254636680883,0.314899385067962
0.0416390321045375,-0.0242110805867134,0.338000118713273
0.026126411488801,-0.0240793356953083,0.4098316662087015
0.024610259341372,-0.0240579301772533,0.4074236476025012
0.0091777018015703,-0.0239943171201168,0.4428050927722496
0.0077035977270472,-0.0239851193783699,0.445422082054234
0.0592148770583986,-0.0075615605620561,0.1080049181795251
0.0433547197798652,-0.0073352380005537,0.290457422343658
0.0417045280507874,-0.0073061025051294,0.3240859451498497
0.0261770612990876,-0.0072157735286175,0.4053487120900232
0.0246354435679647,-0.0072026903090893,0.3998497000316614
0.0092008538221005,-0.0071615146754204,0.4400376405288744
0.0077034805267327,-0.0071562694666801,0.4429774239681555
0.04345963391004,0.0096517691107572,0.2648653738510518
0.0417705710484787,0.0096624839769781,0.3061206132287606
