frame_id,cluster_id,classification,bin_0,bin_1,bin_2,bin_3,bin_4,bin_5,bin_6,bin_7,bin_8,bin_9,bin_10,bin_11,bin_12,bin_13,bin_14,bin_15,bin_16,bin_17,bin_18,bin_19,bin_20,bin_21,bin_22,bin_23,bin_24,bin_25,bin_26,bin_27,bin_28,bin_29,bin_30,bin_31,bin_32,bin_33,bin_34,bin_35,bin_36,bin_37,bin_38,bin_39,bin_40,bin_41,bin_42,bin_43,bin_44,bin_45,bin_47,bin_49
3.0,0.0,1.0,0.6754587774,0.8760364993333334,0.49346767410000003,0.8923837185833333,-1.0,0.7042834661699999,-1.0,0.135479089,0.8004733637375,-1.0,0.7806909923875001,-1.0,-1.0,0.75878221885,-1.0,0.2816320334,-1.0,-1.0,0.26004416834125,-1.0,0.02738320544,0.3136607756,-1.0,0.302190132,-1.0,-1.0,0.2870232892333333,-1.0,0.2664913126833333,-1.0,-1.0,0.230556139335,-1.0,-1.0,0.771342478625,-1.0,0.7168323063250001,-1.0,-1.0,0.655017342825,-1.0,0.6553830307666667,0.2645396032,-1.0,0.5238013713333334,-1.0,0.6541224288,0.16840617899
3.0,1.0,0.0,0.324753552839625,0.48297421245,0.13846154935,0.4084922966571428,0.0006384976835,0.35270907349999997,-1.0,0.11376301895999999,0.38928097027499997,-1.0,0.34558204317444446,-1.0,-1.0,0.3671814865625,-1.0,0.34906639824999997,-1.0,-1.0,0.32387017935,-1.0,0.2059515732,0.8592286617333333,-1.0,0.8291373160333334,-1.0,-1.0,0.7894230426333334,-1.0,0.71665954135,-1.0,-1.0,0.74450891626,-1.0,-1.0,0.369258929925,-1.0,0.35208889905,-1.0,-1.0,0.3003868989,-1.0,0.4050499557,0.1270849049,-1.0,0.39425850360000003,-1.0,0.38467645549999996,-1.0
3.0,2.0,1.0,0.8039752246833333,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.62850782325,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.2217938216866667,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.28778202915,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.26857686049999996,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.6779500433000001,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.6642531319,-1.0,-1.0,-1.0,-1.0,-1.0
3.0,3.0,0.0,0.25917566695521427,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.3394990683,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.36456542500000005,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.94699657335,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.88257723715,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.3372606524,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.3649583183,-1.0,-1.0,-1.0,-1.0,-1.0
4.0,0.0,1.0,0.6754587774,0.8760364993333334,0.49346767410000003,0.8923837185833333,-1.0,0.7042834661699999,-1.0,0.135479089,0.8004733637375,-1.0,0.7806909923875001,-1.0,-1.0,0.75878221885,-1.0,0.2816320334,-1.0,-1.0,0.26004416834125,-1.0,0.02738320544,0.3136607756,-1.0,0.302190132,-1.0,-1.0,0.2870232892333333,-1.0,0.2664913126833333,-1.0,-1.0,0.230556139335,-1.0,-1.0,0.771342478625,-1.0,0.7168323063250001,-1.0,-1.0,0.655017342825,-1.0,0.6553830307666667,0.2645396032,-1.0,0.5238013713333334,-1.0,0.6541224288,0.16840617899
4.0,1.0,0.0,0.324753552839625,0.48297421245,0.13846154935,0.4084922966571428,0.0006384976835,0.35270907349999997,-1.0,0.11376301895999999,0.38928097027499997,-1.0,0.34558204317444446,-1.0,-1.0,0.3671814865625,-1.0,0.34906639824999997,-1.0,-1.0,0.32387017935,-1.0,0.2059515732,0.8592286617333333,-1.0,0.8291373160333334,-1.0,-1.0,0.7894230426333334,-1.0,0.71665954135,-1.0,-1.0,0.74450891626,-1.0,-1.0,0.369258929925,-1.0,0.35208889905,-1.0,-1.0,0.3003868989,-1.0,0.4050499557,0.1270849049,-1.0,0.39425850360000003,-1.0,0.38467645549999996,-1.0
4.0,2.0,1.0,0.8039752246833333,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.62850782325,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.2217938216866667,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.28778202915,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.26857686049999996,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.6779500433000001,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.6642531319,-1.0,-1.0,-1.0,-1.0,-1.0
4.0,3.0,0.0,0.25917566695521427,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.3394990683,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.36456542500000005,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.94699657335,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.88257723715,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.3372606524,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.3649583183,-1.0,-1.0,-1.0,-1.0,-1.0
5.0,0.0,1.0,0.6754575057307692,0.8760355605000001,0.493467023425,0.8923829274333333,-1.0,0.7042828329999999,-1.0,0.13547957667,0.8004727509375,-1.0,0.7806902339375,-1.0,-1.0,0.75878119775,-1.0,0.2816306437125,-1.0,-1.0,0.26004274329375,-1.0,0.02738226699,0.3136591730833333,-1.0,0.30218880146666666,-1.0,-1.0,0.2870219298666667,-1.0,0.2664900447333333,-1.0,-1.0,0.23055488665166668,-1.0,-1.0,0.7713420797,-1.0,0.71683235705,-1.0,-1.0,0.655016980125,-1.0,0.655383206,0.2645417698,-1.0,0.5238019445333334,-1.0,0.6541222501499999,0.16848493783500001
5.0,1.0,0.0,0.3247536756396875,0.482974310825,0.138461427,0.40849237615,0.0006385098069,0.35270946774,-1.0,0.11376399354,0.3892813269,-1.0,0.34558230438,-1.0,-1.0,0.3671818048375,-1.0,0.3490668742,-1.0,-1.0,0.32387075407125,-1.0,0.2059542238,0.8592291243833333,-1.0,0.8291381378166666,-1.0,-1.0,0.78942483175,-1.0,0.7166609776333334,-1.0,-1.0,0.74451069676,-1.0,-1.0,0.36925933295,-1.0,0.352089338575,-1.0,-1.0,0.300387881225,-1.0,0.4050501876,0.1270897338,-1.0,0.3942590643,-1.0,0.38467638775,-1.0
5.0,2.0,1.0,0.8039754469833333,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.628509547925,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.22179454968333334,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.28778233745000004,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.26857698825,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.67795216655,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.6642560406,-1.0,-1.0,-1.0,-1.0,-1.0
5.0,3.0,0.0,0.2591755469268857,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.339499654225,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.36456611066666667,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.94699705925,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.8825784263,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.33726119644999997,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.3649588116,-1.0,-1.0,-1.0,-1.0,-1.0
6.0,0.0,1.0,0.666306275676923,0.8720799612666666,0.47851144095,0.8890238649333333,-1.0,0.69547540848,-1.0,0.10976475744,0.7944431214875,-1.0,0.7740974703375,-1.0,-1.0,0.751521159975,-1.0,0.2614162835625,-1.0,-1.0,0.23922165047,-1.0,0.0,0.29447715566666666,-1.0,0.282632216,-1.0,-1.0,0.2670420427833333,-1.0,0.24566814807833334,-1.0,-1.0,0.2603192232666667,-1.0,-1.0,0.764079088625,-1.0,0.7079912179000001,-1.0,-1.0,0.644410281925,-1.0,0.6447113211333333,0.2402495572,-1.0,0.5092881056,-1.0,0.64342931325,0.1990030139
6.0,1.0,0.0,0.303681279906625,0.482969562375,0.138440141,0.4084850418285714,0.000686567738825,0.35245107461999997,-1.0,0.11297153334500001,0.3891295437625,-1.0,0.3453675257311111,-1.0,-1.0,0.3670079919125,-1.0,0.3487331114625,-1.0,-1.0,0.32348240216875,-1.0,0.2047405405,0.8588292112333334,-1.0,0.8287120417833332,-1.0,-1.0,0.7883900657499999,-1.0,0.7157132708333332,-1.0,-1.0,0.743629369,-1.0,-1.0,0.36902444135,-1.0,0.3518281707,-1.0,-1.0,0.299505553225,-1.0,0.40490976775,0.1244382076,-1.0,0.39399401700000003,-1.0,0.384742274,-1.0
6.0,2.0,1.0,0.80397636425,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.62700906675,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.2212566638233333,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.2876685946,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.2682967095,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.6762109104,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.6616500336,-1.0,-1.0,-1.0,-1.0,-1.0
