,-0.0997,-0.0497,0.0003,0.0503,0.1003,0.1503
0.0250,0.0000,5971266.0000,5971266.0000,5971266.0000,0.0000,0.0000
0.0750,0.0000,5971266.0000,5971266.0000,1018.4572,1018.4572,1018.4572
