,-0.1870,-0.1370,-0.0870,-0.0370,0.0130,0.0630,0.1130,0.1630,0.2130,0.2630
0.0250,0.0000,0.0000,0.0000,5817.8076,36107736.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0750,0.0000,4400.0210,31450332.0000,33687752.0000,5817.8076,36107736.0000,1630.9707,1630.9707,0.0000,0.0000
0.1250,1959.6028,4400.0210,31450332.0000,33687752.0000,0.0000,0.0000,1630.9707,1630.9707,0.0000,0.0000
