,-0.0809,-0.0309,0.0191,0.0691,0.1191,0.1691
0.0250,48.4091,48.4091,48.4091,107.7673,0.0000,0.0000
0.0750,0.0000,48.4091,48.4091,107.7673,107.7673,107.7673
