,-0.0516,-0.0016,0.0484,0.0984,0.1484
0.0250,0.0000,51652416.0000,0.0000,0.0000,0.0000
0.0750,3895.1611,3895.1611,8926.9414,0.0000,0.0000
0.1250,3895.1611,5532.6304,5532.6304,8926.9414,0.0000
