,-0.0651,-0.0151,0.0349,0.0849,0.1349
0.0250,5204471.0000,5204471.0000,5204471.0000,5341694.0000,0.0000
0.0750,5204471.0000,5204471.0000,5341694.0000,5341694.0000,5341694.0000
