,-0.0677,-0.0177,0.0323,0.0823,0.1323
0.0250,1791.5773,10442637.0000,10442637.0000,10442637.0000,0.0000
0.0750,1791.5773,10442637.0000,10442637.0000,0.0000,0.0000
