,-0.0660,-0.0160,0.0340,0.0840,0.1340
0.0250,0.0000,33062244.0000,0.0000,0.0000,0.0000
0.0750,0.0000,31337776.0000,18462852.0000,0.0000,0.0000
0.1250,32013154.0000,22388968.0000,22388968.0000,18462852.0000,0.0000
0.1750,32013154.0000,22388968.0000,22388968.0000,0.0000,0.0000
