,-0.0488,0.0012,0.0512,0.1012
0.0250,0.0000,13452967.0000,0.0000,0.0000
0.0750,6426271.5000,6426271.5000,6426271.5000,0.0000
0.1250,6426271.5000,6426271.5000,6426271.5000,4930114.5000
