,-0.0436,0.0064,0.0564,0.1064
0.0250,0.0000,25587646.0000,0.0000,0.0000
0.0750,4357.4565,4357.4565,3415.0417,0.0000
0.1250,4357.4565,4357.4565,4357.4565,3415.0417
