,-0.0727,-0.0227,0.0273,0.0773,0.1273
0.0250,0.0000,40109592.0000,0.0000,0.0000,0.0000
0.0750,0.0000,3973.1262,7042.9009,0.0000,0.0000
0.1250,3973.1262,3973.1262,7042.9009,6976.5469,0.0000
0.1750,3973.1262,3973.1262,7042.9009,7042.9009,0.0000
