,-0.0865,-0.0365,0.0135,0.0635,0.1135,0.1635
0.0250,0.0000,158.3983,271.0690,0.0000,0.0000,0.0000
0.0750,158.3983,60.2152,60.2152,560.4648,0.0000,0.0000
0.1250,60.2152,60.2152,60.2152,498.8603,498.8603,498.8603
