,-0.0760,-0.0260,0.0240,0.0740,0.1240,0.1740
0.0250,0.0000,1740.1759,1345.2491,0.0000,0.0000,0.0000
0.0750,1740.1759,1740.1759,1345.2491,1345.2491,1345.2491,1345.2491
