,-0.0994,-0.0494,0.0006,0.0506,0.1006,0.1506
0.0250,0.0000,0.0000,364.7669,0.0000,0.0000,0.0000
0.0750,0.0000,364.7669,320.7397,508.9220,0.0000,0.0000
0.1250,135.2764,320.7397,508.9220,508.9220,831.0925,831.0925
