,-0.0989,-0.0489,0.0011,0.0511,0.1011,0.1511
0.0250,0.0000,4155527.5000,4155527.5000,0.0000,0.0000,0.0000
0.0750,4155527.5000,4155527.5000,4155527.5000,15640921.0000,4589410.5000,0.0000
0.1250,0.0000,4155527.5000,4155527.5000,4589410.5000,4589410.5000,4589410.5000
