,-0.0257,0.0243,0.0743,0.1243
0.0250,0.0000,0.0000,0.0000,0.0000
0.0750,2252812.5000,2252812.5000,0.0000,0.0000
0.1250,2252812.5000,2252812.5000,0.0000,0.0000
0.1750,2252812.5000,2252812.5000,2252812.5000,0.0000
