,-0.0997,-0.0497,0.0003,0.0503,0.1003,0.1503
0.0250,0.0000,6078397.5000,6078397.5000,6078397.5000,0.0000,0.0000
0.0750,0.0000,0.0000,6078397.5000,6078397.5000,6105087.0000,6105087.0000
