,-0.0406,0.0094,0.0594,0.1094
0.0250,0.0000,3281.1650,0.0000,0.0000
0.0750,3281.1650,3281.1650,3281.1650,0.0000
0.1250,3281.1650,3281.1650,3281.1650,0.0000
