,-0.0244,0.0256,0.0756
0.0250,0.0000,0.0000,0.0000
0.0750,1897691.3750,1897691.3750,0.0000
0.1250,1897691.3750,1897691.3750,0.0000
0.1750,1897691.3750,1897691.3750,1897691.3750
