,-0.0931,-0.0431,0.0069,0.0569,0.1069,0.1569
0.0250,2544.2920,2497.3372,2497.3372,2497.3372,0.0000,0.0000
0.0750,2544.2920,2497.3372,2497.3372,0.0000,0.0000,0.0000
