,-0.0536,-0.0036,0.0464,0.0964,0.1464
0.0250,15009290.0000,15009290.0000,2520.9951,2520.9951,0.0000
0.0750,15009290.0000,15009290.0000,2520.9951,2520.9951,2520.9951
